date,cash,position,portfolio_value,close,signal,daily_return
2010-02-24,100000.0,0,100000.0,0.46,sell,
2010-02-25,3000.2599999999948,210869,100000.0,0.46,buy,0.0
2010-02-26,3000.2599999999948,210869,102108.68999999999,0.47,buy,0.021086899999999877
2010-03-01,3000.2599999999948,210869,106326.06999999999,0.49,buy,0.041302850913081
2010-03-02,3000.2599999999948,210869,106326.06999999999,0.49,buy,0.0
2010-03-03,3000.2599999999948,210869,106326.06999999999,0.49,hold,0.0
2010-03-04,3000.2599999999948,210869,108434.76,0.5,buy,0.01983229512762018
2010-03-05,3000.2599999999948,210869,112652.14,0.52,buy,0.03889324788471893
2010-03-08,3000.2599999999948,210869,112652.14,0.52,buy,0.0
2010-03-09,3000.2599999999948,210869,114760.83,0.53,buy,0.018718596912584193
2010-03-10,3000.2599999999948,210869,116869.52,0.54,buy,0.01837464925968209
2010-03-11,3000.2599999999948,210869,118978.21,0.55,buy,0.01804311337977603
2010-03-12,3000.2599999999948,210869,118978.21,0.55,hold,0.0
2010-03-15,3000.2599999999948,210869,118978.21,0.55,buy,0.0
2010-03-16,3000.2599999999948,210869,121086.90000000001,0.56,buy,0.01772332933904454
2010-03-17,3000.2599999999948,210869,121086.90000000001,0.56,buy,0.0
2010-03-18,3000.2599999999948,210869,123195.58999999998,0.57,hold,0.01741468317381957
2010-03-19,3000.2599999999948,210869,121086.90000000001,0.56,hold,-0.01711660295632314
2010-03-22,3000.2599999999948,210869,123195.58999999998,0.57,buy,0.01741468317381957
2010-03-23,3000.2599999999948,210869,125304.27999999998,0.58,buy,0.017116602956323376
2010-03-24,3000.2599999999948,210869,123195.58999999998,0.57,hold,-0.01682855525764964
2010-03-25,3000.2599999999948,210869,123195.58999999998,0.57,hold,0.0
2010-03-26,3000.2599999999948,210869,123195.58999999998,0.57,buy,0.0
2010-03-29,3000.2599999999948,210869,125304.27999999998,0.58,buy,0.017116602956323376
2010-03-30,3000.2599999999948,210869,127412.96999999999,0.59,hold,0.01682855525764964
2010-03-31,3000.2599999999948,210869,125304.27999999998,0.58,buy,-0.016550041961976104
2010-04-01,3000.2599999999948,210869,125304.27999999998,0.58,buy,0.0
2010-04-05,3000.2599999999948,210869,127412.96999999999,0.59,buy,0.01682855525764964
2010-04-06,3000.2599999999948,210869,129521.65999999999,0.6,buy,0.016550041961976104
2010-04-07,3000.2599999999948,210869,129521.65999999999,0.6,hold,0.0
2010-04-08,3000.2599999999948,210869,129521.65999999999,0.6,buy,0.0
2010-04-09,3000.2599999999948,210869,131630.34999999998,0.61,buy,0.016280597391972802
2010-04-12,3000.2599999999948,210869,131630.34999999998,0.61,hold,0.0
2010-04-13,3000.2599999999948,210869,133739.03999999998,0.62,buy,0.01601978571051435
2010-04-14,3000.2599999999948,210869,137956.41999999998,0.64,buy,0.03153439713639342
2010-04-15,3000.2599999999948,210869,140065.11,0.65,hold,0.01528518933732843
2010-04-16,133739.03999999998,0,133739.03999999998,0.63,sell,-0.04516520923733261
2010-04-19,4012.319999999978,202698,131712.06,0.63,buy,-0.01515623261539773
2010-04-20,4012.319999999978,202698,133739.03999999998,0.64,buy,0.0153894791410899
2010-04-21,4012.319999999978,202698,135766.02,0.65,hold,0.015156232615397948
2010-04-22,4012.319999999978,202698,137792.99999999997,0.66,buy,0.014929950808015006
2010-04-23,4012.319999999978,202698,139819.97999999998,0.67,hold,0.014710326359103952
2010-04-26,135766.02,0,135766.02,0.66,sell,-0.02899413946418811
2010-04-27,135766.02,0,135766.02,0.62,sell,0.0
2010-04-28,135766.02,0,135766.02,0.62,sell,0.0
2010-04-29,135766.02,0,135766.02,0.65,sell,0.0
2010-04-30,135766.02,0,135766.02,0.61,sell,0.0
2010-05-03,135766.02,0,135766.02,0.64,sell,0.0
2010-05-04,135766.02,0,135766.02,0.58,sell,0.0
2010-05-05,135766.02,0,135766.02,0.57,sell,0.0
2010-05-06,135766.02,0,135766.02,0.52,sell,0.0
2010-05-07,135766.02,0,135766.02,0.48,sell,0.0
2010-05-10,4073.5199999999895,243875,138204.77,0.55,buy,0.017962889388670304
