,date,cash,position,portfolio_value,close,signal
0,2010-02-24,100000.0,0,100000.0,0.46,sell
1,2010-02-25,3000.2599999999948,210869,100000.0,0.46,buy
2,2010-02-26,3000.2599999999948,210869,102108.68999999999,0.47,buy
3,2010-03-01,3000.2599999999948,210869,106326.06999999999,0.49,buy
4,2010-03-02,3000.2599999999948,210869,106326.06999999999,0.49,buy
5,2010-03-03,3000.2599999999948,210869,106326.06999999999,0.49,hold
6,2010-03-04,3000.2599999999948,210869,108434.76,0.5,buy
7,2010-03-05,3000.2599999999948,210869,112652.14,0.52,buy
8,2010-03-08,3000.2599999999948,210869,112652.14,0.52,buy
9,2010-03-09,3000.2599999999948,210869,114760.83,0.53,buy
10,2010-03-10,3000.2599999999948,210869,116869.52,0.54,buy
11,2010-03-11,3000.2599999999948,210869,118978.21,0.55,buy
12,2010-03-12,3000.2599999999948,210869,118978.21,0.55,hold
13,2010-03-15,3000.2599999999948,210869,118978.21,0.55,buy
14,2010-03-16,3000.2599999999948,210869,121086.90000000001,0.56,buy
15,2010-03-17,3000.2599999999948,210869,121086.90000000001,0.56,buy
16,2010-03-18,3000.2599999999948,210869,123195.58999999998,0.57,hold
17,2010-03-19,3000.2599999999948,210869,121086.90000000001,0.56,hold
18,2010-03-22,3000.2599999999948,210869,123195.58999999998,0.57,buy
19,2010-03-23,3000.2599999999948,210869,125304.27999999998,0.58,buy
20,2010-03-24,3000.2599999999948,210869,123195.58999999998,0.57,hold
21,2010-03-25,3000.2599999999948,210869,123195.58999999998,0.57,hold
22,2010-03-26,3000.2599999999948,210869,123195.58999999998,0.57,buy
23,2010-03-29,3000.2599999999948,210869,125304.27999999998,0.58,buy
24,2010-03-30,3000.2599999999948,210869,127412.96999999999,0.59,hold
25,2010-03-31,3000.2599999999948,210869,125304.27999999998,0.58,buy
26,2010-04-01,3000.2599999999948,210869,125304.27999999998,0.58,buy
27,2010-04-05,3000.2599999999948,210869,127412.96999999999,0.59,buy
28,2010-04-06,3000.2599999999948,210869,129521.65999999999,0.6,buy
29,2010-04-07,3000.2599999999948,210869,129521.65999999999,0.6,hold
30,2010-04-08,3000.2599999999948,210869,129521.65999999999,0.6,buy
31,2010-04-09,3000.2599999999948,210869,131630.34999999998,0.61,buy
32,2010-04-12,3000.2599999999948,210869,131630.34999999998,0.61,hold
33,2010-04-13,3000.2599999999948,210869,133739.03999999998,0.62,buy
34,2010-04-14,3000.2599999999948,210869,137956.41999999998,0.64,buy
35,2010-04-15,3000.2599999999948,210869,140065.11,0.65,hold
36,2010-04-16,133739.03999999998,0,133739.03999999998,0.63,sell
37,2010-04-19,4012.319999999978,202698,131712.06,0.63,buy
38,2010-04-20,4012.319999999978,202698,133739.03999999998,0.64,buy
39,2010-04-21,4012.319999999978,202698,135766.02,0.65,hold
40,2010-04-22,4012.319999999978,202698,137792.99999999997,0.66,buy
41,2010-04-23,4012.319999999978,202698,139819.97999999998,0.67,hold
42,2010-04-26,135766.02,0,135766.02,0.66,sell
43,2010-04-27,135766.02,0,135766.02,0.62,sell
44,2010-04-28,135766.02,0,135766.02,0.62,sell
45,2010-04-29,135766.02,0,135766.02,0.65,sell
46,2010-04-30,135766.02,0,135766.02,0.61,sell
47,2010-05-03,135766.02,0,135766.02,0.64,sell
48,2010-05-04,135766.02,0,135766.02,0.58,sell
49,2010-05-05,135766.02,0,135766.02,0.57,sell
50,2010-05-06,135766.02,0,135766.02,0.52,sell
51,2010-05-07,135766.02,0,135766.02,0.48,sell
52,2010-05-10,4073.5199999999895,243875,138204.77,0.55,buy
53,2010-05-11,4073.5199999999895,243875,138204.77,0.55,buy
54,2010-05-12,4073.5199999999895,243875,145521.02,0.58,hold
55,2010-05-13,135766.02,0,135766.02,0.55,sell
56,2010-05-14,135766.02,0,135766.02,0.52,sell
57,2010-05-17,135766.02,0,135766.02,0.53,sell
58,2010-05-18,135766.02,0,135766.02,0.51,sell
59,2010-05-19,135766.02,0,135766.02,0.49,sell
60,2010-05-20,135766.02,0,135766.02,0.44,sell
61,2010-05-21,135766.02,0,135766.02,0.45,sell
62,2010-05-24,135766.02,0,135766.02,0.45,sell
63,2010-05-25,4073.069999999978,292651,135766.02,0.45,buy
64,2010-05-26,4073.069999999978,292651,129912.99999999997,0.43,buy
65,2010-05-27,4073.069999999978,292651,144545.54999999996,0.48,buy
66,2010-05-28,4073.069999999978,292651,141619.03999999998,0.47,hold
67,2010-06-01,4073.069999999978,292651,138692.52999999997,0.46,buy
68,2010-06-02,4073.069999999978,292651,147472.05999999997,0.49,buy
69,2010-06-03,4073.069999999978,292651,153325.08,0.51,hold
70,2010-06-04,138692.52999999997,0,138692.52999999997,0.46,sell
71,2010-06-07,138692.52999999997,0,138692.52999999997,0.43,sell
72,2010-06-08,138692.52999999997,0,138692.52999999997,0.43,sell
73,2010-06-09,138692.52999999997,0,138692.52999999997,0.42,sell
74,2010-06-10,4161.209999999963,305753,141750.05999999997,0.45,buy
75,2010-06-11,4161.209999999963,305753,144807.58999999997,0.46,buy
76,2010-06-14,4161.209999999963,305753,144807.58999999997,0.46,buy
77,2010-06-15,4161.209999999963,305753,157037.70999999996,0.5,buy
78,2010-06-16,4161.209999999963,305753,160095.23999999996,0.51,buy
79,2010-06-17,4161.209999999963,305753,160095.23999999996,0.51,buy
80,2010-06-18,4161.209999999963,305753,163152.76999999996,0.52,buy
81,2010-06-21,4161.209999999963,305753,157037.70999999996,0.5,hold
82,2010-06-22,153980.17999999996,0,153980.17999999996,0.49,sell
83,2010-06-23,153980.17999999996,0,153980.17999999996,0.48,sell
84,2010-06-24,153980.17999999996,0,153980.17999999996,0.46,sell
85,2010-06-25,153980.17999999996,0,153980.17999999996,0.46,sell
86,2010-06-28,153980.17999999996,0,153980.17999999996,0.46,sell
87,2010-06-29,153980.17999999996,0,153980.17999999996,0.4,sell
88,2010-06-30,153980.17999999996,0,153980.17999999996,0.38,sell
89,2010-07-01,153980.17999999996,0,153980.17999999996,0.38,sell
90,2010-07-02,153980.17999999996,0,153980.17999999996,0.38,sell
91,2010-07-06,4619.659999999974,393054,153980.17999999996,0.38,buy
92,2010-07-07,4619.659999999974,393054,169702.33999999997,0.42,buy
93,2010-07-08,4619.659999999974,393054,169702.33999999997,0.42,buy
94,2010-07-09,4619.659999999974,393054,177563.41999999998,0.44,buy
95,2010-07-12,4619.659999999974,393054,177563.41999999998,0.44,buy
96,2010-07-13,4619.659999999974,393054,185424.49999999997,0.46,buy
97,2010-07-14,4619.659999999974,393054,185424.49999999997,0.46,buy
98,2010-07-15,4619.659999999974,393054,185424.49999999997,0.46,hold
99,2010-07-16,173632.87999999998,0,173632.87999999998,0.43,sell
100,2010-07-19,173632.87999999998,0,173632.87999999998,0.44,sell
101,2010-07-20,5209.319999999978,358348,166465.91999999998,0.45,buy
102,2010-07-21,5209.319999999978,358348,159298.95999999996,0.43,buy
